Model,CarType,Category,year,months,sales
SR,LANCER,乘用車,2022,9,84
SR,LANCER,乘用車,2022,10,62
SR,LANCER,乘用車,2022,11,63
SR,LANCER,乘用車,2022,12,74
RE,OUTLANDER,乘用車,2022,1,150
RE,OUTLANDER,乘用車,2022,2,75
RE,OUTLANDER,乘用車,2022,3,172
RE,OUTLANDER,乘用車,2022,4,183
RE,OUTLANDER,乘用車,2022,5,193
RE,OUTLANDER,乘用車,2022,6,184
RE,OUTLANDER,乘用車,2022,7,245
RE,OUTLANDER,乘用車,2022,8,123
RE,OUTLANDER,乘用車,2022,9,183
RE,OUTLANDER,乘用車,2022,10,159
RE,OUTLANDER,乘用車,2022,11,171
RE,OUTLANDER,乘用車,2022,12,183
AS,ZINGER,乘用車,2022,1,604
AS,ZINGER,乘用車,2022,2,345
AS,ZINGER,乘用車,2022,3,533
AS,ZINGER,乘用車,2022,4,441
AS,ZINGER,乘用車,2022,5,413
AS,ZINGER,乘用車,2022,6,493
AS,ZINGER,乘用車,2022,7,573
AS,ZINGER,乘用車,2022,8,424
AS,ZINGER,乘用車,2022,9,424
AS,ZINGER,乘用車,2022,10,350
AS,ZINGER,乘用車,2022,11,547
AS,ZINGER,乘用車,2022,12,492
DE,DELICA(廂車),商用車,2022,1,230
DE,DELICA(廂車),商用車,2022,2,158
DE,DELICA(廂車),商用車,2022,3,298
DE,DELICA(廂車),商用車,2022,4,252
DE,DELICA(廂車),商用車,2022,5,190
DE,DELICA(廂車),商用車,2022,6,206
DE,DELICA(廂車),商用車,2022,7,236
DE,DELICA(廂車),商用車,2022,8,447
DE,DELICA(廂車),商用車,2022,9,252
DE,DELICA(廂車),商用車,2022,10,283
DE,DELICA(廂車),商用車,2022,11,402
DE,DELICA(廂車),商用車,2022,12,231
DET,DELICA(貨車),商用車,2022,1,547
DET,DELICA(貨車),商用車,2022,2,398
DET,DELICA(貨車),商用車,2022,3,551
DET,DELICA(貨車),商用車,2022,4,486
DET,DELICA(貨車),商用車,2022,5,492
DET,DELICA(貨車),商用車,2022,6,465
DET,DELICA(貨車),商用車,2022,7,521
DET,DELICA(貨車),商用車,2022,8,442
DET,DELICA(貨車),商用車,2022,9,445
DET,DELICA(貨車),商用車,2022,10,419
DET,DELICA(貨車),商用車,2022,11,379
DET,DELICA(貨車),商用車,2022,12,425
JDP,A190,商用車,2022,1,1191
JDP,A190,商用車,2022,2,713
JDP,A190,商用車,2022,3,1040
JDP,A190,商用車,2022,4,994
JDP,A190,商用車,2022,5,881
JDP,A190,商用車,2022,6,850
JDP,A190,商用車,2022,7,1084
JDP,A190,商用車,2022,8,833
JDP,A190,商用車,2022,9,1019
JDP,A190,商用車,2022,10,835
JDP,A190,商用車,2022,11,686
JDP,A190,商用車,2022,12,594
JDV,A180,商用車,2022,1,446
JDV,A180,商用車,2022,2,282
JDV,A180,商用車,2022,3,471
JDV,A180,商用車,2022,4,405
JDV,A180,商用車,2022,5,308
JDV,A180,商用車,2022,6,393
JDV,A180,商用車,2022,7,438
JDV,A180,商用車,2022,8,311
JDV,A180,商用車,2022,9,454
JDV,A180,商用車,2022,10,418
JDV,A180,商用車,2022,11,432
JDV,A180,商用車,2022,12,333
CT,中華堅兵,商用車,2022,1,
CT,中華堅兵,商用車,2022,2,
CT,中華堅兵,商用車,2022,3,
CT,中華堅兵,商用車,2022,4,
CT,中華堅兵,商用車,2022,5,2
CT,中華堅兵,商用車,2022,6,2
CT,中華堅兵,商用車,2022,7,
CT,中華堅兵,商用車,2022,8,
CT,中華堅兵,商用車,2022,9,16
CT,中華堅兵,商用車,2022,10,47
CT,中華堅兵,商用車,2022,11,88
CT,中華堅兵,商用車,2022,12,77
